claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain,converted_label
" This video shows the Russian naval fleet entering the Red Sea on March 29, 2024
",,2024-03-29,2024-04-08 00:00:00,false,en,logicallyfacts.com,false
Document shows “Stormy Daniels exonerated Trump herself!”,Facebook posts,2024-04-14,2024-04-25 21:24:20,false,en,politifact.com,false
World Economic Forum event is evidence that global leaders are planning a new pandemic called Disease X.,Instagram post,2024-01-11,2024-01-18 23:24:21,false,en,politifact.com,false
"Photo shows “Thomas Matthew Crooks wearing a quipá.”
",Viral image,2024-07-18,2024-07-31 23:11:08,false,en,politifact.com,false
" Video depicting an altercation between public and BJP candidates Satish Gautam and Parshottam Rupala.

",SOCIAL MEDIA POST,2024-04-21,2024-04-22 00:00:00,false,en,factly.in,false
Get ready for what’s coming this summer and join the hot festival with JBL Cambodia. Receive instant access to up to 60% off discount codes when you purchase JBL Xtreme 3 speakers as one of the first 200 registrants at our online store. Note: This promotion is limited to the first 200 customers only. Act quickly to increase your chances of success.,JBL Cambodia,2024-05-29,2024-06-28 00:00:00,false,en,cambodia.factcrescendo.com,false
“The captain of the container ship Dali…is a Ukrainian.”,X posts,2024-03-26,2024-03-27 21:49:14,false,en,politifact.com,false
"Image of Sardar Mohan Singh, who fought for Germany in World War II and reportedly requested weapons from Hitler to liberate India.",Social Media User,2024-07-15,2024-07-23 00:00:00,false,en,factly.in,false
"""Malaysia Airlines Flight MH370 returns after 10-year mystery""",Facebook Post,2024-06-28,2024-07-03 20:01:24,false,en,politifact.com,false
A video showing machine laying railway tracks in Malaysia has been shared with false claims that it shows the latest technology being used in India.,Social media user,2024-01-27,2024-02-01 00:00:00,false,en,logicallyfacts.com,false
The video shows a massive crowd gathered at a recent rally of Congress leader Rahul Gandhi.,X,2024-04-11,2024-04-18 00:00:00,false,en,logicallyfacts.com,false
"A photo of Union Minister, Smriti Irani dressed as a belly dancer.

",SOCIAL MEDIA POST,2024-03-10,2024-03-14 00:00:00,false,en,factly.in,false
"“But the fact is, under Biden, we have a three-year inflation rate of almost 50 percent. Under me, you had no inflation. You had no inflation.”",Donald Trump ,2024-03-09,2024-03-14 12:00:55,false,en,washingtonpost.com,false
Walmart is reverting to 24-hour operations,Social Media Users,2024-06-05,2024-06-05 00:00:00,false,en,thailand.factcrescendo.com,false
Footage claims that temporary toilet are made for devotees attending Ram Mandir consecration,Social Media Users,,2024-01-03 15:03:08,false,en,newsmeter.in,false
"Says Taylor Swift “announced a fund raising concert with Beyoncé in support of Harris” on July 23.
",Threads post,2024-07-24,2024-07-31 23:12:45,false,en,politifact.com,false
"Arati Prabhakar has been arrested for treason
",Michael Baxter,2024-01-04,2024-01-11 00:00:00,false,en,logicallyfacts.com,false
"Sen. Risa Hontiveros has been imprisoned for her alleged involvement in the 2014 PhilHealth bonus controversy.
",YouTube channel PINAS BALITA TV,2024-02-26,2024-03-04 00:00:00,false,en,verafiles.org,false
"Kelly Clarkson is promoting weight loss gummies or other diet products.
",Facebook posts,2024-04-18,2024-06-21 20:39:51,false,en,politifact.com,false
India-India chants heard as J.D. Vance and wife Usha appeared at the RNC ,X user,2024-07-16,2024-07-16 00:00:00,false,en,logicallyfacts.com,false
The 32.15-kilometer Cavite-Bataan  interlink project will the the world's second longest bridge when completed.,Ferdinand Marcos Jr. ,2024-04-10,2024-04-16 00:00:00,false,en,verafiles.org,false
